Name,Genre
Car Radio,Alternative
Backslide,Alternative
Head Like a Hole,Alternative
Heart to Heart,Alternative
Believer,Alternative
Thunder,Alternative
Icarus,Alternative 
Happy Birthday to You,Childrens Music
Row Row Row Your Boat,Childrens Music
Twinkle Twinkle Little Star,Childrens Music
Baa Baa Black Sheep,Childrens Music
Mary Had A Little Lamb,Childrens Music
Rain Rain Go Away,Childrens Music
Hush Little Baby,Childrens Music
Itsy Bitsy Spider,Childrens Music
"Clean Up, Clean Up, Everybody Likes to Clean!",Childrens Music
Spring (La Primavera),Classical
Capriccio Italien,Classical
1812 Overture,Classical
Rosamunde Overture,Classical
The Imperial March,Classical
Shostakovich Symphony No. 5,Classical
Bugler's Dream and Olympic Fanfare,Classical
Jupiter,Classical
The Riders of Rohan,Classical
"Humoresque No. 07 In G flat Major, Op. 101",Classical
Whiskey Glasses,Country
You Broke Up with Me,Country
What Ifs,Country 
Up Down,Country 
Mission Impossible Theme,Electronic
Treehouse,Electronic
The Mandalorian,Electronic
The Final Countdown,Electronic
sundress,HipHop
runnin,HipHop
Umbrella ,HipHop
Whatever She Wants,HipHop
Redrum,HipHop
Sundress,HipHop
lady killers ,HipHop
Rude Boy,HipHop
Pour it up,HipHop
can't say,HipHop
TSU,HipHop
solo,HipHop
Where Have You Been,HipHop
hours in silence,HipHop 
Warrior Legacy,Instrumental
Legends of Glory,Instrumental
Stay,Instrumental
Kinetic Dances,Instrumental
Dark Ride,Instrumental
Kiss of life,Instrumental
Top Gun Anthem,Instrumental 
Never gonna give you up,pop
I Got This Feeling ,Pop
Blank Space,Pop
blank space ,pop
sundress,pop
Wildest Dreams,pop
Never gonna give you up,pop
Shake It Off,Pop
Shake it off,Pop
good days,pop
Never gonna give you up,pop
Karma ,Pop
Karma,Pop
Show me how,Pop
Lush Life,Pop
white ferrari,pop
Baby,pop
Never gonna give you up,pop
Love Story,Pop
Love Story,Pop
chanel ,pop
Paradise,Pop
lady killers,pop
Never gonna give you up,pop
Firework,Pop
Fortnight,Pop
Fortnight,Pop
white ferrari,pop
Something Just Like This,Pop
Never gonna give you up,pop
Roar ,Pop
Cruel Summer,Pop
Cruel Summer,Pop
fortnight,pop
Never gonna give you up,pop
Bad Blood,Pop
I Knew You Were Trouble,Pop
You belong with me,Pop
90210,pop
MONAMI ,Pop
chanel,pop
blank space,pop
Never gonna give you up,pop
You Belong With Me,Pop
Bad Blood,Pop
America,Pop
Yesterday,Pop
Notice Me,pop
shake it off,pop
Never gonna give you up,pop
Fortnite ,Pop
Bad Blood,Pop
I knew you trouble ,Pop
Louise ,Pop
Never gonna give you up,pop
Anti-Hero,Pop
Anti-hero,Pop
Never Gonna Give You Up,Pop
solo,pop
bloody mary,pop 
bad romance,pop 
paparazzi,pop 
Good Days,r and b
Broken Clocks,r and b
Pink + White,RnB
Thinkin bout you,RnB
Open Arms,RnB
Judge Please,rap
Mo Bamba,Rap
Freestyle 2,rap
I Love UI Hate U,rap
Love Me,rap
Ransom (remix),rap
runnin ,rap
Zoo York,rap
hours in silence,rap
Breathe,rap
Pop-Si-CO,Rap
NOSTYLIST,rap
90210,rap
Rapstar,rap
TSU,rap
All the Stars,Rap
Yale,rap
Danger Zone,Rock
Caroline,Rock
I Remember You,Rock
You Could be Mine,Rock
Smells Like Teen Spirit,Rock
Duality,Rock
Thunderstruck,Rock
Fuel,Rock
Fuel,Rock
One,Rock
Chop Suey!,Rock
Hero of the Day,Rock
master of puppets,Rock
Packaged Rebellion,Rock
Hangar 18,Rock
The Gnashing,Rock
Schism,Rock
Forty Six & Two,Rock
Talk,rock
Dark Days,rock
Daly City Train,rock
Better Man,Rock
All the Small Things,Rock
Thunderstruck,Rock
Runaway Train,Rock
Say It Ain't So,Rock
Dream On,Rock
TNT ,Rock
Change of Heart,Rock
Everlong,Rock
Learn to Fly,Rock
Dani California,Rock
Another One Bites The Dust,Rock
Scar Tissue,Rock
More Than a Feeling,Rock
John the Fisherman,Rock
Paradise City,Rock
Through the Ghost,Rock
Gang of Thieves,Rock
Home Sweet Home,Rock
bohemian rhapsody,rock
